Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
121600.4345155,0.59,0.59,0.81,1.83
121600.4912983,0.59,0.59,0.81,1.83
121600.54552,0.59,0.59,0.81,1.83
121600.6088872,0.59,0.59,0.81,1.83
121600.6593444,0.6,0.59,0.81,1.83
121600.7206572,0.59,0.59,0.81,1.83
121600.7839285,0.59,0.59,0.81,1.83
121600.8344609,0.59,0.59,0.81,1.83
121600.8950925,0.59,0.59,0.81,1.83
121600.9583752,0.59,0.59,0.81,1.83
121601.0119269,0.59,0.59,0.81,1.83
121601.0620731,0.59,0.59,0.81,1.83
121601.1182808,0.59,0.59,0.81,1.83
121601.1715539,0.59,0.59,0.81,1.83
121601.2218287,0.59,0.59,0.81,1.83
121601.2836102,0.59,0.59,0.81,1.83
121601.3473622,0.59,0.59,0.81,1.83
121601.410967,0.59,0.59,0.81,1.83
121601.4647626,0.59,0.59,0.81,1.83
121601.5225269,0.59,0.59,0.81,1.83
121601.5731359,0.59,0.59,0.81,1.83
121601.6331704,0.59,0.59,0.81,1.83
121601.69656,0.59,0.59,0.81,1.83
121601.7494751,0.59,0.6,0.83,1.8
121601.8075623,0.59,0.59,0.81,1.83
121601.8710894,0.59,0.59,0.81,1.83
121601.9225139,0.59,0.59,0.81,1.83
121601.9747796,0.59,0.59,0.81,1.83
121602.0307026,0.59,0.59,0.81,1.83
121602.0946473,0.59,0.59,0.81,1.83
121602.153824,0.59,0.59,0.81,1.83
121602.2042476,0.59,0.59,0.81,1.83
121602.2544408,0.59,0.59,0.81,1.83
121602.3175246,0.59,0.59,0.81,1.83
121602.3811147,0.59,0.59,0.81,1.82
121602.4455823,0.59,0.59,0.81,1.83
121602.4975456,0.59,0.59,0.81,1.83
121602.5567688,0.59,0.59,0.8,1.86
121602.6134203,0.59,0.59,0.8,1.87
121602.665681,0.59,0.59,0.82,1.84
121602.7191974,0.59,0.59,0.82,1.83
121602.7828115,0.59,0.59,0.82,1.83
121602.8465472,0.59,0.59,0.82,1.83
121602.9016561,0.59,0.59,0.82,1.83
121602.9586957,0.59,0.59,0.8,1.86
121603.0098791,0.59,0.59,0.82,1.84
121603.0694399,0.59,0.59,0.82,1.83
121603.1328327,0.59,0.59,0.82,1.82
121603.19666,0.59,0.59,0.81,1.83
121603.2546655,0.59,0.59,0.81,1.84
121603.3080004,0.59,0.59,0.81,1.83
121603.3590048,0.59,0.59,0.8,1.86
121603.4193836,0.59,0.59,0.8,1.87
121603.4830479,0.59,0.59,0.82,1.82
121603.5383545,0.59,0.59,0.82,1.83
121603.5894738,0.59,0.59,0.82,1.83
121603.6397303,0.59,0.59,0.81,1.83
121603.6898687,0.59,0.6,0.83,1.8
121603.7400166,0.59,0.59,0.81,1.82
121603.8008186,0.59,0.59,0.81,1.83
121603.8648126,0.59,0.59,0.81,1.83
121603.9156438,0.59,0.59,0.81,1.83
121603.976376,0.59,0.6,0.83,1.8
121604.0265356,0.59,0.59,0.81,1.82
121604.0874978,0.59,0.59,0.81,1.83
121604.1512676,0.59,0.59,0.81,1.83
121604.2023639,0.59,0.59,0.81,1.83
121604.267184,0.59,0.6,0.83,1.8
121604.3309141,0.59,0.59,0.81,1.82
121604.3851115,0.59,0.59,0.81,1.83
121604.4361989,0.59,0.59,0.81,1.83
121604.489737,0.59,0.59,0.81,1.83
121604.5535006,0.59,0.59,0.81,1.83
121604.6169063,0.59,0.59,0.81,1.83
121604.6808426,0.59,0.59,0.81,1.83
121604.7352466,0.59,0.59,0.81,1.83
121604.7922048,0.59,0.59,0.81,1.83
