Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
120379.8097613,0.59,0.6,1.15,1.78
120379.8608652,0.59,0.6,1.16,1.78
120379.9227578,0.59,0.61,1.16,1.78
120379.9849466,0.59,0.6,1.15,1.76
120380.0494708,0.59,0.6,1.15,1.76
120380.1020645,0.59,0.6,1.15,1.78
120380.1533481,0.6,0.6,1.16,1.8
120380.205642,0.59,0.61,1.16,1.78
120380.2571504,0.59,0.6,1.16,1.78
120380.308404,0.59,0.61,1.16,1.76
120380.3598265,0.59,0.6,1.15,1.76
120380.4138152,0.59,0.6,1.15,1.76
120380.4774886,0.59,0.61,1.15,1.78
120380.5284519,0.59,0.6,1.15,1.76
120380.5807514,0.59,0.61,1.15,1.78
120380.6325436,0.59,0.61,1.15,1.78
120380.6963127,0.59,0.6,1.15,1.78
120380.7500878,0.59,0.6,1.15,1.78
120380.8107689,0.59,0.59,1.15,1.79
120380.8629932,0.59,0.59,1.16,1.76
120380.9251945,0.59,0.6,1.16,1.78
120380.9755387,0.59,0.6,1.16,1.78
120381.0256872,0.59,0.6,1.15,1.78
120381.0830231,0.59,0.59,1.15,1.79
120381.1334357,0.59,0.61,1.15,1.78
120381.192644,0.59,0.6,1.15,1.76
120381.2459803,0.59,0.6,1.15,1.78
120381.3088089,0.59,0.6,1.15,1.78
120381.3658878,0.59,0.6,1.15,1.76
120381.42145,0.59,0.6,1.16,1.76
120381.4731252,0.59,0.6,1.16,1.78
120381.52681,0.59,0.6,1.16,1.78
120381.5865064,0.59,0.6,1.16,1.78
120381.6384697,0.59,0.6,1.15,1.78
120381.6909928,0.59,0.6,1.15,1.78
120381.7432132,0.59,0.6,1.16,1.78
120381.795095,0.59,0.6,1.16,1.78
120381.8482401,0.59,0.6,1.15,1.78
120381.9047356,0.59,0.59,1.15,1.77
120381.9572734,0.59,0.6,1.16,1.76
120382.0134058,0.59,0.6,1.16,1.78
120382.0644608,0.59,0.6,1.15,1.78
120382.1171495,0.59,0.6,1.16,1.78
120382.1694242,0.59,0.6,1.16,1.78
120382.2203667,0.59,0.59,1.16,1.77
120382.2758344,0.59,0.59,1.15,1.77
120382.3313436,0.59,0.59,1.16,1.78
120382.387915,0.59,0.6,1.16,1.76
